Symbol  ,Date    ,Time  ,Open  ,High    ,Low   ,Closed,,,,,
NIFTY_F1,20150907,11:42,7654.95,7659.7,7653.95,7656.85,7475,23545976,,,
NIFTY_F1,20150907,11:43,7657,7659.75,7655.75,7659.75,5250,23545976,,,
NIFTY_F1,20150907,11:44,7660,7661.95,7659.75,7660.25,5825,23552100,,,
NIFTY_F1,20150907,11:45,7660.25,7660.35,7656,7656.25,10900,23552100,,,
NIFTY_F1,20150907,11:46,7656.05,7658.3,7651.5,7651.55,18300,23552100,,,
NIFTY_F1,20150907,11:47,7651.55,7655.75,7651.55,7655.55,15150,23575950,,,
NIFTY_F1,20150907,11:48,7656,7656.1,7653,7654.1,4850,23575950,,,
NIFTY_F1,20150907,11:49,7654.4,7659.45,7654,7658.05,4350,23575950,,,
NIFTY_F1,20150907,11:50,7658.05,7658.05,7654,7654.05,7275,23577624,,,
NIFTY_F1,20150907,11:51,7655,7656,7654.2,7654.55,3525,23577624,,,
NIFTY_F1,20150907,11:52,7654.5,7654.5,7651.1,7653.45,12400,23577624,,,
NIFTY_F1,20150907,11:53,7653.55,7653.75,7651,7652.2,10500,23590524,,,
NIFTY_F1,20150907,11:54,7653.4,7653.4,7650.05,7650.9,11650,23590524,,,
NIFTY_F1,20150907,11:55,7650.05,7651,7648.2,7649,8500,23590524,,,
NIFTY_F1,20150907,11:56,7649,7653.5,7648.15,7652,20575,23605176,,,
NIFTY_F1,20150907,11:57,7652,7657.75,7652,7655.95,13400,23605176,,,
NIFTY_F1,20150907,11:58,7657.85,7659.9,7655.65,7659.85,12975,23605176,,,
NIFTY_F1,20150907,11:59,7659.9,7662,7659.05,7659.85,13825,23630876,,,
NIFTY_F1,20150907,12:00,7659.1,7661.4,7658,7659,9525,23630876,,,
NIFTY_F1,20150907,12:01,7659,7661,7658,7658.8,8725,23630876,,,
NIFTY_F1,20150907,12:02,7658.8,7663,7658.8,7662.75,16750,23638376,,,
NIFTY_F1,20150907,12:03,7661.25,7667.85,7661,7666,40450,23638376,,,
NIFTY_F1,20150907,12:04,7666,7672,7666,7669.5,63550,23638376,,,
NIFTY_F1,20150907,12:05,7669.6,7669.6,7666.15,7668.7,21075,23675200,,,
NIFTY_F1,20150907,12:06,7667.9,7672,7667.65,7670.5,18875,23675200,,,
NIFTY_F1,20150907,12:07,7671,7674.8,7670.1,7674.8,21800,23675200,,,
NIFTY_F1,20150907,12:08,7674.9,7679,7672,7674.7,58950,23712950,,,
NIFTY_F1,20150907,12:09,7675,7675,7668.05,7668.1,28875,23712950,,,
NIFTY_F1,20150907,12:10,7669.95,7671,7667.15,7669.4,15675,23712950,,,
NIFTY_F1,20150907,12:11,7667.75,7669.25,7661.5,7664.65,24125,23737776,,,
NIFTY_F1,20150907,12:12,7663.25,7668.05,7662.5,7663.85,14175,23737776,,,
NIFTY_F1,20150907,12:13,7663.45,7667.4,7663,7667.3,11525,23737776,,,
NIFTY_F1,20150907,12:14,7667.2,7667.8,7661,7664.4,11450,23746924,,,
NIFTY_F1,20150907,12:15,7663.3,7665.25,7661.15,7665,13925,23746924,,,
NIFTY_F1,20150907,12:16,7665.7,7667.85,7660,7661.6,36825,23746924,,,
NIFTY_F1,20150907,12:17,7661.5,7662.45,7659,7661,21550,23757150,,,
NIFTY_F1,20150907,12:18,7660.25,7662.3,7659.9,7661.75,12975,23757150,,,
NIFTY_F1,20150907,12:19,7662.25,7663,7659.1,7661,6375,23757150,,,
NIFTY_F1,20150907,12:20,7660.95,7661,7658.6,7659.05,5675,23763150,,,
NIFTY_F1,20150907,12:21,7659,7662.9,7658.45,7662.9,13750,23763150,,,
NIFTY_F1,20150907,12:22,7662.1,7663.7,7659.4,7661.9,21725,23763150,,,
NIFTY_F1,20150907,12:23,7661.9,7662.9,7659.4,7662,11975,23780750,,,
NIFTY_F1,20150907,12:24,7662,7662,7659,7659.9,9150,23780750,,,
NIFTY_F1,20150907,12:25,7660.9,7663.2,7660.3,7662.5,9775,23780750,,,
NIFTY_F1,20150907,12:26,7663.3,7663.75,7661,7663,19925,23797124,,,
NIFTY_F1,20150907,12:27,7663.25,7668.15,7660.85,7666.95,22400,23797124,,,
NIFTY_F1,20150907,12:28,7666,7666.65,7660.8,7664,16650,23797124,,,
NIFTY_F1,20150907,12:29,7663.85,7663.85,7658.45,7659,22850,23819224,,,
NIFTY_F1,20150907,12:30,7659,7663.4,7658.35,7661,10250,23819224,,,
NIFTY_F1,20150907,12:31,7662.7,7665.95,7660.4,7665.45,6050,23819224,,,
NIFTY_F1,20150907,12:32,7665,7665,7660.1,7661.9,9800,23822576,,,
NIFTY_F1,20150907,12:33,7660.65,7667.85,7660.4,7665.45,21300,23822576,,,
NIFTY_F1,20150907,12:34,7665.35,7665.35,7662.1,7663.1,19375,23822576,,,
NIFTY_F1,20150907,12:35,7662.8,7671.7,7662.65,7669,28975,23846076,,,
NIFTY_F1,20150907,12:36,7669,7672.95,7669,7670.1,19300,23846076,,,
NIFTY_F1,20150907,12:37,7670,7671.85,7667.1,7669.5,16775,23846076,,,
NIFTY_F1,20150907,12:38,7669.5,7671,7664.15,7664.15,13250,23858876,,,
NIFTY_F1,20150907,12:39,7665,7676,7665,7673.3,50375,23858876,,,
NIFTY_F1,20150907,12:40,7673.55,7675,7663.45,7667.1,35625,23858876,,,
NIFTY_F1,20150907,12:41,7667.05,7668.6,7663.05,7663.65,23225,23865076,,,
NIFTY_F1,20150907,12:42,7663.65,7668.1,7663.65,7666.45,11350,23865076,,,
NIFTY_F1,20150907,12:43,7666.1,7666.35,7659.3,7660,20700,23865076,,,
NIFTY_F1,20150907,12:44,7660,7663,7658.55,7660,16775,23862276,,,
NIFTY_F1,20150907,12:45,7659.7,7660,7656.3,7658.7,26225,23862276,,,
NIFTY_F1,20150907,12:46,7657.45,7664.4,7657.4,7660.85,26375,23862276,,,
NIFTY_F1,20150907,12:47,7660.8,7662.9,7659.45,7661.8,12150,23876776,,,
NIFTY_F1,20150907,12:48,7660.25,7662.65,7658.6,7660.25,4975,23876776,,,
NIFTY_F1,20150907,12:49,7660.3,7663,7659,7660.3,9925,23876776,,,
NIFTY_F1,20150907,12:50,7660.25,7661.4,7657.75,7658,10300,23882276,,,
NIFTY_F1,20150907,12:51,7658.5,7659.85,7655.25,7655.3,25350,23882276,,,
NIFTY_F1,20150907,12:52,7656.45,7663.85,7655.45,7663,30975,23882276,,,
NIFTY_F1,20150907,12:53,7663,7663,7657.95,7657.95,22575,23885276,,,
NIFTY_F1,20150907,12:54,7657.05,7662.9,7657.05,7659.05,27600,23885276,,,
NIFTY_F1,20150907,12:55,7659,7662.3,7658.05,7661,35100,23885276,,,
NIFTY_F1,20150907,12:56,7661,7661,7657.8,7659,15600,23890524,,,
NIFTY_F1,20150907,12:57,7658.1,7661.85,7658,7658.75,14000,23890524,,,
NIFTY_F1,20150907,12:58,7660,7661,7657.4,7660,18025,23890524,,,
NIFTY_F1,20150907,12:59,7658.95,7662.65,7658.95,7662.4,15525,23899176,,,
NIFTY_F1,20150907,13:00,7662.1,7662.5,7658.7,7660.95,10800,23899176,,,
NIFTY_F1,20150907,13:01,7660.35,7663.55,7657.25,7658,25375,23899176,,,
NIFTY_F1,20150907,13:02,7658.2,7659.4,7647.8,7654,67850,23878224,,,
NIFTY_F1,20150907,13:03,7656.1,7656.7,7651.6,7654.1,15800,23878224,,,
NIFTY_F1,20150907,13:04,7654.1,7655.5,7648.95,7648.95,16050,23878224,,,
NIFTY_F1,20150907,13:05,7648.75,7651.75,7647.6,7649.15,17425,23870500,,,
NIFTY_F1,20150907,13:06,7650,7654.8,7650,7651.8,15200,23870500,,,
NIFTY_F1,20150907,13:07,7653.2,7653.2,7648.4,7649,12125,23870500,,,
NIFTY_F1,20150907,13:08,7648.9,7654.75,7646.2,7653.45,18025,23878476,,,
NIFTY_F1,20150907,13:09,7654,7654.8,7650.15,7650.15,13875,23878476,,,
NIFTY_F1,20150907,13:10,7650.1,7651.5,7648.05,7648.3,20050,23878476,,,
NIFTY_F1,20150907,13:11,7648.5,7650,7645.1,7646.05,26725,23876400,,,
NIFTY_F1,20150907,13:12,7646,7649.25,7643.3,7648,27300,23876400,,,
NIFTY_F1,20150907,13:13,7649.1,7651.75,7647.35,7648.25,17350,23876400,,,
NIFTY_F1,20150907,13:14,7649,7649.3,7644.5,7645,26125,23885250,,,
NIFTY_F1,20150907,13:15,7644.05,7646.85,7642.05,7643.2,22775,23885250,,,
NIFTY_F1,20150907,13:16,7643.85,7645.7,7636.15,7644.5,78400,23885250,,,
NIFTY_F1,20150907,13:17,7643.75,7649.35,7643.1,7646.8,26300,23891324,,,
NIFTY_F1,20150907,13:18,7646.8,7652.5,7645.75,7650,19275,23891324,,,
NIFTY_F1,20150907,13:19,7650,7654,7647.25,7654,18075,23891324,,,
NIFTY_F1,20150907,13:20,7653.1,7655.45,7651,7651.95,21975,23882676,,,
NIFTY_F1,20150907,13:21,7651.1,7653,7647.65,7649.9,16975,23882676,,,
NIFTY_F1,20150907,13:22,7649.95,7650,7647.2,7647.85,10575,23882676,,,
NIFTY_F1,20150907,13:23,7646.5,7649.9,7645.15,7647.35,14425,23880276,,,
NIFTY_F1,20150907,13:24,7648.05,7648.55,7645.05,7646,8825,23880276,,,
NIFTY_F1,20150907,13:25,7646,7649.85,7645.4,7649.55,12175,23880276,,,
NIFTY_F1,20150907,13:26,7651,7651,7647.2,7649,6600,23887624,,,
NIFTY_F1,20150907,13:27,7649,7651.9,7649,7650,8175,23887624,,,
NIFTY_F1,20150907,13:28,7650.55,7651.2,7648.15,7649.9,8125,23887624,,,
NIFTY_F1,20150907,13:29,7647.1,7651.45,7645,7650.95,29925,23857524,,,
NIFTY_F1,20150907,13:30,7650,7650,7637.95,7641.3,36475,23857524,,,
NIFTY_F1,20150907,13:31,7640.15,7645,7638.2,7645,18100,23857524,,,
NIFTY_F1,20150907,13:32,7644,7645.7,7638.1,7639.1,19950,23862876,,,
NIFTY_F1,20150907,13:33,7640,7642,7635,7637.25,38300,23862876,,,
NIFTY_F1,20150907,13:34,7638,7643.95,7638,7642.05,22625,23862876,,,
NIFTY_F1,20150907,13:35,7643.85,7645.15,7639.05,7641.05,15300,23874976,,,
NIFTY_F1,20150907,13:36,7641,7644.5,7637.05,7644.2,13375,23874976,,,
NIFTY_F1,20150907,13:37,7642.75,7643.85,7639.1,7641,10525,23874976,,,
NIFTY_F1,20150907,13:38,7640.5,7644.5,7640.25,7644,7325,23877600,,,
NIFTY_F1,20150907,13:39,7644.45,7644.5,7641.05,7643.95,5200,23877600,,,
NIFTY_F1,20150907,13:40,7643.95,7644.05,7641,7641,8300,23877600,,,
NIFTY_F1,20150907,13:41,7641.2,7645,7640.25,7640.25,9100,23854724,,,
NIFTY_F1,20150907,13:42,7641.95,7642,7640.25,7640.25,4950,23854724,,,
NIFTY_F1,20150907,13:43,7641,7644.85,7640.25,7644,10875,23854724,,,
NIFTY_F1,20150907,13:44,7644.8,7649,7644,7646.1,21825,23865750,,,
NIFTY_F1,20150907,13:45,7646.1,7648,7644,7646,11950,23865750,,,
NIFTY_F1,20150907,13:46,7646.4,7648.8,7646,7647.35,8250,23865750,,,
NIFTY_F1,20150907,13:47,7648.85,7648.85,7644.35,7645.25,12775,23874876,,,
NIFTY_F1,20150907,13:48,7645,7646.6,7642.05,7645.1,7100,23874876,,,
